,ratings,Bold,Tannic,Sweet,Alcohol content,contain_eggs,contain_milk,Type_dessert,Type_fortified,Type_red,Type_rose,Type_sparkling,Type_white
322,4.2,85,56.8046,0.0556125,13.5890593,0,0,0,0,1,0,0,0
323,4.2,66.9448,59.8453,13.1819,14.5,0,0,0,0,1,0,0,0
324,4.2,72.0367,69.5965,11.3166,13.5890593,0,0,0,0,1,0,0,0
325,4.2,65.7032,49.6449,5.31279,14.5,0,0,0,0,1,0,0,0
326,4.2,67.9179,61.9328,5.32722,15.1,0,0,0,0,1,0,0,0
327,4.2,83.6402,33.462,27.4916,15.4,0,0,0,0,1,0,0,0
328,4.2,81.2482,77.5396,10.4838,13.5890593,0,0,0,0,1,0,0,0
329,4.2,70.696,62.7248,15.6426,15.4,0,0,0,0,1,0,0,0
330,4.2,51.114,57.9827,2.10512,13.5890593,0,0,0,0,1,0,0,0
331,4.2,80.3852,75.8023,8.83926,14.8,0,0,0,0,1,0,0,0
332,4.2,19.6237,19.4848,48.83179461,13.5890593,0,0,0,0,1,0,0,0
333,4.2,47.2486,57.7168,1.8981,13.5890593,0,0,0,0,1,0,0,0
334,4.2,25.1899,19.4644,7.52282,13.3,0,0,0,0,1,0,0,0
